time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-05T19:41:45.325Z,-1.9091,128.9452,30.13,4.3,mb,,78,3.095,0.97,us,us6000dewm,2021-02-05T22:46:18.040Z,"158 km N of Amahai, Indonesia",earthquake,6.7,0.8,0.099,38,reviewed,us,us
2021-02-05T18:31:06.170Z,17.9375,-66.9593,5,2.63,md,22,205,0.0885,0.18,pr,pr2021036004,2021-02-05T19:02:44.893Z,"6 km SW of Guánica, Puerto Rico",earthquake,0.47,0.3,0.34,13,reviewed,pr,pr
2021-02-05T17:59:13.750Z,36.28733333,-97.51583333,5,2.58,ml,89,36,0,0.26,ok,ok2021cnif,2021-02-05T21:43:17.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.18,37,reviewed,ok,ok
2021-02-05T17:48:45.719Z,36.289,-97.51583333,6.67,4.2,mwr,89,27,0,0.21,ok,ok2021cnhw,2021-02-06T21:26:07.716Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.4,,36,reviewed,ok,us
2021-02-05T17:29:35.130Z,36.29,-97.51483333,5,2.58,ml,95,27,0,0.24,ok,ok2021cnhg,2021-02-05T20:19:01.040Z,"Oklahoma",earthquake,,0.5,0.22,42,reviewed,ok,ok
2021-02-05T16:17:37.100Z,36.28816667,-97.51966667,6.59,3.65,ml,64,52,0.1943618596,0.22,ok,ok2021cnew,2021-02-06T16:20:28.232Z,"6 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.32,7,reviewed,ok,ok
2021-02-05T16:16:56.929Z,36.28483333,-97.5115,6.66,3.52,ml,101,27,0,0.16,ok,ok2021cnev,2021-02-06T16:19:43.973Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.3,0.23,38,reviewed,ok,ok
2021-02-05T15:41:34.243Z,-22.7765,171.7284,10,5.4,mww,,112,15.255,1.15,us,us6000detn,2021-02-06T15:44:09.977Z,"southeast of the Loyalty Islands",earthquake,15.1,1.9,0.098,10,reviewed,us,us
2021-02-05T15:36:10.512Z,40.4948,45.3546,10,5.1,mww,,72,0.583,1.09,us,us6000detl,2021-02-06T11:12:21.516Z,"9 km SSW of Vahan, Armenia",earthquake,5.2,1.9,0.075,17,reviewed,us,us
2021-02-05T13:22:19.279Z,-24.1846,-67.312,190.2,4.1,mb,,98,1.462,0.81,us,us6000der3,2021-02-06T12:41:44.040Z,"100 km W of San Antonio de los Cobres, Argentina",earthquake,10.2,9.2,0.198,7,reviewed,us,us
2021-02-05T12:29:34.652Z,12.3765,-86.7634,148.47,4.8,mb,,131,0.24,0.84,us,us6000deqg,2021-02-05T13:00:55.040Z,"10 km WNW of La Paz Centro, Nicaragua",earthquake,7.2,4.9,0.03,339,reviewed,us,us
2021-02-05T11:47:47.697Z,20.9734,97.8144,10.1,4.4,mwr,,42,0.757,0.57,us,us6000depg,2021-02-06T14:58:17.165Z,"Myanmar",earthquake,4.2,3.8,0.098,10,reviewed,us,us
2021-02-05T11:25:26.324Z,-24.1532,-67.4595,203.48,4.3,mb,,98,1.365,0.62,us,us6000depb,2021-02-05T23:48:01.999Z,"116 km W of San Antonio de los Cobres, Argentina",earthquake,7.9,11.9,0.218,6,reviewed,us,us
2021-02-05T10:33:23.242Z,44.3188,-115.1539,12.13,2.5,ml,,81,0.171,0.41,us,us6000dep4,2021-02-05T15:25:57.720Z,"20 km WNW of Stanley, Idaho",earthquake,2.3,7,0.053,46,reviewed,us,us
2021-02-05T09:07:57.947Z,-4.5002,102.2208,52.88,4.5,mb,,98,0.745,0.63,us,us6000deml,2021-02-05T09:23:51.040Z,"77 km S of Bengkulu, Indonesia",earthquake,7.3,8,0.125,19,reviewed,us,us
2021-02-05T08:10:01.660Z,17.9581,-66.848,11,3.16,md,24,191,0.0355,0.11,pr,pr2021036001,2021-02-05T09:43:07.453Z,"4 km ESE of Maria Antonia, Puerto Rico",earthquake,0.48,0.34,0.06,11,reviewed,pr,pr
2021-02-05T07:53:34.641Z,6.827,-73.0564,152.92,4.5,mb,,79,0.928,1.18,us,us6000dem5,2021-02-05T08:07:09.040Z,"northern Colombia",earthquake,7.1,8,0.098,30,reviewed,us,us
2021-02-05T07:17:25.680Z,19.3525,-155.0415,4.06,2.57,ml,50,184,,0.13,hv,hv72341527,2021-02-06T02:01:32.122Z,"15 km SE of Fern Forest, Hawaii",earthquake,0.42,0.61,0.185785254117567,22,reviewed,hv,hv
2021-02-05T07:07:54.255Z,-4.1349,150.4128,439.55,4.7,mb,,56,1.747,0.44,us,us6000delt,2021-02-05T07:35:05.040Z,"159 km N of Kimbe, Papua New Guinea",earthquake,11.9,8.8,0.083,44,reviewed,us,us
2021-02-05T07:05:39.899Z,44.3221,-115.2263,3.33,3.5,ml,,85,0.215,1.18,us,us6000delq,2021-02-06T07:07:22.232Z,"25 km WNW of Stanley, Idaho",earthquake,1.9,4.2,0.036,100,reviewed,us,us
2021-02-05T02:37:33.407Z,-0.12,121.9271,280.92,4.3,mb,,113,1.245,0.67,us,us6000dekf,2021-02-05T03:21:44.040Z,"132 km NW of Luwuk, Indonesia",earthquake,9.7,8.4,0.178,10,reviewed,us,us
2021-02-05T02:19:55.703Z,-7.3394,128.8365,140.18,4.4,mb,,67,2.522,0.79,us,us6000dek7,2021-02-05T02:36:02.040Z,"241 km ENE of Lospalos, Timor Leste",earthquake,9.5,9.5,0.162,13,reviewed,us,us
2021-02-05T02:01:34.197Z,-1.6506,128.5487,10,4.3,mb,,82,2.68,0.35,us,us6000dek4,2021-02-05T02:44:01.040Z,"191 km NNW of Amahai, Indonesia",earthquake,6.4,1.8,0.161,13,reviewed,us,us
2021-02-05T01:26:44.780Z,41.4715,-111.711,10.02,2.48,ml,38,49,0.1221,0.16,uu,uu60425932,2021-02-05T23:25:25.340Z,"10 km SE of Avon, Utah",earthquake,0.26,0.47,0.133,7,reviewed,uu,uu
2021-02-04T23:49:52.870Z,18.5688,-65.6456,10,2.97,md,14,270,0.4727,0.25,pr,pr2021035009,2021-02-05T01:01:16.625Z,"22 km NNE of Luquillo, Puerto Rico",earthquake,1.06,0.99,0.04,7,reviewed,pr,pr
2021-02-04T23:49:49.472Z,11.9058,120.7929,10,4.8,mb,,85,6.735,0.7,us,us6000dej8,2021-02-05T00:22:30.040Z,"51 km SW of Santa Teresa, Philippines",earthquake,9.3,1.9,0.064,76,reviewed,us,us
2021-02-04T23:49:02.355Z,-20.2419,170.0643,96.86,4.8,mb,,102,18.225,0.78,us,us6000dej6,2021-02-05T00:10:49.040Z,"Vanuatu",earthquake,14.4,6.9,0.061,83,reviewed,us,us
2021-02-04T22:00:43.233Z,14.5393,123.0159,10,5.1,mww,,72,7.838,0.74,us,us6000dein,2021-02-05T00:45:40.122Z,"37 km NNE of Sabang Indan, Philippines",earthquake,4.8,1.8,0.065,23,reviewed,us,us
2021-02-04T19:27:36.983Z,44.3841,147.7258,81.86,5,mb,,96,3.697,0.75,us,us6000dehm,2021-02-04T22:11:14.040Z,"94 km S of Kuril’sk, Russia",earthquake,9.7,5.8,0.04,205,reviewed,us,us
2021-02-04T17:02:03.773Z,36.7779,76.9025,95.84,4.5,mb,,84,4.31,1.14,us,us6000degv,2021-02-04T19:53:07.040Z,"175 km WSW of Zangguy, China",earthquake,3.5,7.6,0.079,47,reviewed,us,us
2021-02-04T15:44:52.241Z,-9.2669,111.3141,50.31,4.4,mb,,98,1.556,0.7,us,us6000degm,2021-02-04T20:02:32.040Z,"138 km SSW of Trenggalek, Indonesia",earthquake,6.7,7.8,0.103,34,reviewed,us,us
2021-02-04T14:27:40.493Z,59.4425,-138.3136,0,2.8,ml,,,,0.76,ak,ak0211m4b369,2021-02-04T19:04:31.683Z,"80 km E of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-02-04T14:22:51.972Z,38.1786,-117.8244,10.92,2.5,ml,,65,0.136,0.59,us,us6000degc,2021-02-04T19:43:21.698Z,"34 km SE of Mina, Nevada",earthquake,1.8,6.1,0.04,82,reviewed,us,us
2021-02-04T14:08:38.767Z,37.0429,-104.9293,4.92,2.9,ml,,81,0.141,0.14,us,us6000deg9,2021-02-04T14:32:54.040Z,"12 km SW of Weston, Colorado",earthquake,5.6,5.8,0.064,32,reviewed,us,us
2021-02-04T14:04:17.140Z,31.5188333,-115.624,5.62,2.58,ml,18,189,0.1866,0.15,ci,ci39540615,2021-02-04T19:42:37.313Z,"90km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.41,31.61,0.123,27,reviewed,ci,ci
2021-02-04T12:55:38.290Z,17.9756,-66.9958,8,3.11,md,17,173,0.0488,0.23,pr,pr2021035005,2021-02-05T08:51:58.040Z,"5 km E of La Parguera, Puerto Rico",earthquake,0.55,0.75,0.5,9,reviewed,pr,pr
2021-02-04T12:14:26.978Z,-22.622,171.9411,10,5.7,mww,,71,15.369,1.03,us,us6000defh,2021-02-05T12:17:03.553Z,"southeast of the Loyalty Islands",earthquake,6.7,1.8,0.053,34,reviewed,us,us
2021-02-04T09:37:32.721Z,18.4654,-68.9805,158.81,3.7,ml,,162,0.571,0.44,us,us6000dee9,2021-02-04T09:52:39.040Z,"4 km N of La Romana, Dominican Republic",earthquake,10.6,14.6,0.054,45,reviewed,us,us
2021-02-04T08:19:14.720Z,17.9455,-66.9078,14,2.5,md,13,210,0.1385,0.13,pr,pr2021035003,2021-02-04T08:37:58.264Z,"2 km S of Guánica, Puerto Rico",earthquake,0.62,0.5,0.14,7,reviewed,pr,pr
2021-02-04T08:14:03.056Z,21.6194,121.8954,10,5.4,mww,,42,1.411,1,us,us6000dedv,2021-02-05T08:18:26.300Z,"126 km ESE of Hengchun, Taiwan",earthquake,6.4,1.8,0.06,27,reviewed,us,us
2021-02-04T08:04:03.460Z,40.2805,-124.4521667,20.99,2.62,md,25,253,0.0842,0.1,nc,nc73518256,2021-02-06T02:44:05.351Z,"15km WSW of Petrolia, CA",earthquake,0.49,0.24,0.131,45,reviewed,nc,nc
2021-02-04T07:48:12.382Z,14.6073,118.8313,20.67,5.1,mww,,106,8.439,0.65,us,us6000dedr,2021-02-04T08:08:08.040Z,"139 km WSW of San Nicolas, Philippines",earthquake,8.1,5.4,0.071,19,reviewed,us,us
2021-02-04T06:39:29.690Z,38.1597,-118.0645,6.9,2.6,ml,,51,0.208,0.43,us,us6000dedh,2021-02-04T06:48:58.040Z,"25 km S of Mina, Nevada",earthquake,1.5,4.3,0.055,44,reviewed,us,us
2021-02-04T05:28:28.571Z,-4.725,152.6517,61.86,4.8,mb,,124,5.91,0.69,us,us6000ded2,2021-02-04T05:47:58.040Z,"59 km SE of Kokopo, Papua New Guinea",earthquake,10.8,8.2,0.069,67,reviewed,us,us
